File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-8f1da8.o,97.794563%,46471,44282,40688,3395,199,46272
startup_at32f403a_407.o,2.154927%,1024,424,36,388,0,1024
mc_w.l,0.025253%,12,6355,6210,133,12,0
strtok.o,0.008418%,4,72,68,0,4,0
stdout.o,0.008418%,4,4,0,0,4,0
errno.o,0.008418%,4,12,8,0,4,0
